Accession_number,Record_number,JCB_call_number,Image_title,Creator1,Creator1_dates,Creator1_role,Creator2,Creator2_dates,Creator2_role,Creator3,Creator3_dates,Creator3_role,Place_image_published,Image_publisher,Image_date,Languages,Description,Source_creator,Source_Title,Source_place_of_publication,Source_publisher,Source_date,notes,Time_Period,References,References_exhibitions,Provenance_Donor,Commentary,SubjectArea1,SubjectArea2,SubjectArea3,SubjectArea4,SubjectHeadings1,SubjectHeadings2,SubjectHeadings3,SubjectHeadings4,SubjectHeadings5,SubjectHeadings6,SubjectHeadings7,SubjectHeadings8
840,0840-001,B553 C569p /1-SIZE,"[De las costumbres destos Indios, y de las armas que vsan, y de las cerimonias que lienen, y quien fue el fundador dela ciudad de Antiocha]",,,,,,,,,,Seville,Martin de Montesdoca,1553,Spanish,Masons build a wall while an overseer directs their work.,"Cieza de León, Pedro de, 1518-1554",[La chronica de Peru. Part 1] Parte Primera dela chronica del Peru,Seville,En casa de Martin de Montesdoca,1553,"Text here refers to the city of Antiocha [Antioquia, Colombia?], but this is a generic image of masons probably intended to represent native American workers. The same woodcut is used many times in book to illustrate the building of other towns. Image title taken from chapter title.",1492-1600,,,Acquired before 1866.,,"Artifacts, industry, and human activities",,,,"Peru--History--Conquest, 1522-1548",,,,,,,
840,0840-002,B553 C569p /1-SIZE,[De los ritos y sacrificios q estos Indios tiene: y quan gra des carniceros fonde comer carne humana],,,,,,,,,,Seville,Martin de Montesdoca,1553,Spanish,"Human sacrifice. Native American plunges a knife into another's chest. Two bodies hang, a statue of an idol or devil on a pillar stands at left.","Cieza de León, Pedro de, 1518-1554",[La chronica de Peru. Part 1] Parte Primera dela chronica del Peru,Seville,En casa de Martin de Montesdoca,1553,Image title taken from chapter title.,1492-1600,,,Acquired before 1866.,,"Artifacts, industry, and human activities",,,,"Peru--History--Conquest, 1522-1548",,,,,,,
840,0840-003,B553 C569p /1-SIZE,"[En que se trata quien fueron los reyes Incas, y lo q[ue] mandaron en el peru]",,,,,,,,,,Seville,Martin de Montesdoca,1553,Spanish,"Orejone [i.e., Big-eared Incan or native American ruler] with two subjects.","Cieza de León, Pedro de, 1518-1554",[La chronica de Peru. Part 1] Parte Primera dela chronica del Peru,Seville,En casa de Martin de Montesdoca,1553,Image title taken from chapter title.,1492-1600,,,Acquired before 1866.,,Indigenous peoples,,,,"Peru--History--Conquest, 1522-1548",,,,,,,
840,0840-005,B553 C569p /1-SIZE,"[En que se trata quien fueron los reyes Incas, y lo q[ue] mandaron en el peru]",,,,,,,,,,Seville,Martin de Montesdoca,1553,Spanish,"Orejone [i.e., Big-eared Incan or native American ruler] with two subjects.","Cieza de León, Pedro de, 1518-1554",[La chronica de Peru. Part 1] Parte Primera dela chronica del Peru,Seville,En casa de Martin de Montesdoca,1553,Image title taken from chapter title.,1492-1600,,,Acquired before 1866.,,Indigenous peoples,,,,"Peru--History--Conquest, 1522-1548",,,,,,,
840,0840-004,B553 C569p /1-SIZE,"[En que se trata quien fueron los reyes Incas, y lo q[ue] mandaron en el peru]",,,,,,,,,,Seville,Martin de Montesdoca,1553,Spanish,Men talk to a devil.,"Cieza de León, Pedro de, 1518-1554",[La chronica de Peru. Part 1] Parte Primera dela chronica del Peru,Seville,En casa de Martin de Montesdoca,1553,"Cieza believed, like many other Spaniards, that native Americans of Peru spoke to the devil in the guise of their deceased ancestors. Image title taken from chapter title.",1492-1600,,,Acquired before 1866.,,Indigenous peoples,,,,"Peru--History--Conquest, 1522-1548",,,,,,,
840,0840-006,B553 C569p /1-SIZE,[Como antiguamente tuuiero vna esmeralda por dios en que dorauan los Indios de Manta: y otras cosas q ay q dezir destos indios],,,,,,,,,,Seville,Martin de Montesdoca,1553,Spanish,"Sacred stone of the native Americans of Manta, Ecuador, worshipped by a priest and supplicants.","Cieza de León, Pedro de, 1518-1554",[La chronica de Peru. Part 1] Parte Primera dela chronica del Peru,Seville,En casa de Martin de Montesdoca,1553,Cieza de Leon writes of the leader of Manta having an emerald of great size and value which the people worshipped. Image title taken from chapter title.,1492-1600,,,Acquired before 1866.,,Indigenous peoples,,,,Indians of South America--Rites and ceremonies,,,,,,,
840,0840-007,B553 C569p /1-SIZE,[De los pozos que ay en la punta de sancta Elena: y de lo que cuentan de la venida que hiziero[n] los gigantes en aquella parte: y del ojo de alquitran que en ella esta],,,,,,,,,,Seville,Martin de Montesdoca,1553,Spanish,Native Americans run from flames which come down from the sky.,"Cieza de León, Pedro de, 1518-1554",[La chronica de Peru. Part 1] Parte Primera dela chronica del Peru,Seville,En casa de Martin de Montesdoca,1553,"Illustrates the native American legend of the giants who lived on the Santa Elena peninsula, Peru, who were driven off by a youth shining like the sun who descended from the sky and threw flames of fire at the giants. Image title taken from chapter title.",1492-1600,,,Acquired before 1866.,,Indigenous peoples,,,,Indians of South America--Rites and ceremonies,,,,,,,
840,0840-008,B553 C569p /1-SIZE,Cuzco [De la manera y traça con que esta fundada la ciudad del Cuzco: y de los quatro caminos reales que de ella salen: y de los grades edisicios que tuuo: y quie fue el fundador],,,,,,,,,,Seville,Martin de Montesdoca,1553,Spanish,"Incan ruler, possibly symbolizing Manco Capac (adorned with the royal fringe [llautu] or crown), gesturing toward Cuzco to Francisco Pizarro.","Cieza de León, Pedro de, 1518-1554",[La chronica de Peru. Part 1] Parte Primera dela chronica del Peru,Seville,En casa de Martin de Montesdoca,1553,Image title taken from chapter title.,1492-1600,,,Acquired before 1866.,,Indigenous peoples,,,,"Peru--History--Conquest, 1522-1548",,,,,,,
840,0840-009,B553 C569p /1-SIZE,[De la gran laguna que esta en esta comarca del Collao: y quan honda es: y del te[m]plo de Titicaca],,,,,,,,,,Seville,Martin de Montesdoca,1553,Spanish,Boatmen on Lake Titicaca with city in background.,"Cieza de León, Pedro de, 1518-1554",[La chronica de Peru. Part 1] Parte Primera dela chronica del Peru,Seville,En casa de Martin de Montesdoca,1553,Cieza de León's description of Lake Titicaca is the first published account and depiction of it. Two other Spaniards reported seeing it in 1533.Image title taken from chapter title.,1492-1600,,,Acquired before 1866.,,Indigenous peoples,,,,Indians of South America,,,,,,,
14696,14696-2,BA571 J91d [F],[Ten commandments],,,,,,,,,,Mexico,Pedro Ocharte,1571,Spanish | Huastec,Two left hands with each finger labeled twice with the ten commandments. The hand on leaf 14 verso is labeled in Spanish; the hand on leaf 15 recto is labeled in Huastec.,"Juan de la Cruz, Augustinian",Doctrina christiana en la lengua Guasteca co[n] la lengua castellana ...,Mexico,En casa de Pedro Ocharte,1571,These woodcuts of hands with type-printed labels were used as mnemonic devices to teach the concept of the Ten Commandments. The Huastec or Guasteca people of the province of Vera Cruz are tribes of Maya stock who were isolated from the rest of the Maya before the coming of the Spanish and whose language and culture developed separately from the Maya.,1492-1600,"John Carter Brown Library, Annual Report, 1927, p. 9-10; http://www.vjf.cnrs.fr/celia/FichExt/Am/A_19-20_09.htm (Feb. 2004)",,Acquired in 1926.,,"Artifacts, industry, and human activities",Indigenous peoples,,,Catholic Church--Catechisms--Huastec,Indians of Mexico--Languages--Huastec--Texts,Huastec language--Texts,,,,,
