Accession_number,Record_number,JCB_call_number,Image_title,Creator1,Creator1_dates,Creator1_role,Creator2,Creator2_dates,Creator2_role,Creator3,Creator3_dates,Creator3_role,Place_image_published,Image_publisher,Image_date,Languages,Description,Source_creator,Source_Title,Source_place_of_publication,Source_publisher,Source_date,notes,Time_Period,References,References_exhibitions,Provenance_Donor,Commentary,SubjectArea1,SubjectArea2,SubjectArea3,SubjectArea4,SubjectHeadings1,SubjectHeadings2,SubjectHeadings3,SubjectHeadings4,SubjectHeadings5,SubjectHeadings6,SubjectHeadings7,SubjectHeadings8
1495,01495-1,B522 C828c,[Title page],,,,,,,,,,Seville,Por Jacobo Cromberger aleman,1522,Spanish,A king sits on his throne. Through the windows may be seen pineapple plants or cacti.,"Cortés, Hernán, 1485-1547",[Cartas. Carta 2a] Carta de relacio[n] e[m]biada a Su. S. Majestad del e[m]p[er]ador n[uest]ro señor por el capita[n] general dela Nueua Spaña: llamado Ferna[n]do Cortes. ; enla q[ua]l haze relacio[n] d'las tierras y proui[n]cias sin cue[n]to q[ue] hã descubierto nueuame[n]te enel Yucata[n] del an[n]o de. xix. a esta p[ar]te: y ha sometido ala corona real de Su S.M. ..,Seville,Por Jacobo Cromberger aleman,1522,"Imprint from colophon. Cortés (1485-1547) sent five long reports (also known as ""letters of relation"") to Emperor Charles V detailing his progress in the conquest of Mexico. This is the second one, in which Cortés narrates the wars and alliances that took place on the way to Tenochtitlan, and provides vivid descriptions of the land and the peoples he encounters which he calls New Spain. This letter was the first time the name of a European nation was used with the adjective ""new"" to name an American territory.",1492-1600,,http://www.brown.edu/Facilities/John_Carter_Brown_Library/spHistorical/index.html (July 2013),Acquired in 1847.,,"Artifacts, industry, and human activities",,,,Natural history,,,,,,,
236,0236-001,B524 C828p,[Title page],,,,,,,,,,Venice,Per Bernardino de Viano de Lexona Vercellese. Ad instantia de Baptista de Pederzani Brixiani,1524,Italian,"The title page has a border of stylized flowers, putti, and figures apparently engaged in a battle.","Cortés, Hernán, 1485-1547","[Cartas. Carta 2a. Italian] La preclara narratione di Ferdinando Cortese della Nuoua Hispagna del Mare Oceano, al sacratissimo, [&] inuictissimo Carlo di romani imperatore sempre augusto Re Dhispagna, [&] cio che siegue, nella [n]no del Signore",Venice,Per Bernardino de Viano de Lexona Vercellese. Ad instantia de Baptista de Pederzani Brixiani,1524,,1492-1600,,,Acquired in 1846.,,"Artifacts, industry, and human activities",,,,"Mexico--History--Conquest, 1519-1540",,,,,,,
236,0236-1,B524 C828p,[Title page],,,,,,,,,,Venice,Per Bernardino de Viano de Lexona Vercellese. Ad instantia de Baptista de Pederzani Brixiani,1524,Italian,"The title page has a border of stylized flowers, putti, and figures apparently engaged in a battle.","Cortés, Hernán, 1485-1547","[Cartas. Carta 2a. Italian] La preclara narratione di Ferdinando Cortese della Nuoua Hispagna del Mare Oceano, al sacratissimo, [&] inuictissimo Carlo di romani imperatore sempre augusto Re Dhispagna, [&] cio che siegue, nella [n]no del Signore",Venice,Per Bernardino de Viano de Lexona Vercellese. Ad instantia de Baptista de Pederzani Brixiani,1524,,1492-1600,,,Acquired in 1846.,Susan_Danforth@brown.edu,"Artifacts, industry, and human activities",,,,"Mexico--History--Conquest, 1519-1540",,,,,,,
248,0248-1,BB S7333 1543 1 / 1-SIZE [R],[Title page],,,,,,,,,,Alcalá de Henares,en casa de Joan de Brocar,1543,Spanish,"Coat of arms of the Holy Roman Emperor Charles V (Charles I of Spain) held by a double-headed (Hapsburg) eagle and surrounded by the chain of the Order of the Golden Fleece. Decorative elements also include a heraldic shield, classical architectural elements, putti.",,"Leyes y ordenanças nueuame[n]te hechas por Su Magestad, p[ar]a la gouernacion de las Indias y buen tratamiento y conseruacion de los indios: que se han de guardar en el consejo y audie[n]cias reales q[ue]en ellas residen",Alcalá de Henares,en casa de Joan de Brocar,1543,,1492-1600,,,Acquired in 1846.,Susan_Danforth@brown.edu,"Artifacts, industry, and human activities",,,,Law--Spain--Colonies,,,,,,,
252,0252-1,B553 C334b [F],[Title page],,,,,,,,,,Seville,en casa de Sabastian Trugillo ... a Nuestra Señora de Gracia,1553,Spanish,Coat of arms of the Holy Roman Emperor Charles V (Charles I of Spain) held by a double-headed (Hapsburg) eagle and surrounded by the chain of the Order of the Golden Fleece. Decorative elements include border of grotesques.,"Casas, Bartolomé de las, 1474-1566",[Brevissima relacion] Breuissima relacion de la destruycion de las Indias,Seville,en casa de Sebastian Trugillo ... a Nuestra Señora de Gracia,1553,,1492-1600,,,Acquired in 1846.,Susan_Danforth@brown.edu,"Artifacts, industry, and human activities",,,,,,,,,,,
840,0840-001,B553 C569p /1-SIZE,"[De las costumbres destos Indios, y de las armas que vsan, y de las cerimonias que lienen, y quien fue el fundador dela ciudad de Antiocha]",,,,,,,,,,Seville,Martin de Montesdoca,1553,Spanish,Masons build a wall while an overseer directs their work.,"Cieza de León, Pedro de, 1518-1554",[La chronica de Peru. Part 1] Parte Primera dela chronica del Peru,Seville,En casa de Martin de Montesdoca,1553,"Text here refers to the city of Antiocha [Antioquia, Colombia?], but this is a generic image of masons probably intended to represent native American workers. The same woodcut is used many times in book to illustrate the building of other towns. Image title taken from chapter title.",1492-1600,,,Acquired before 1866.,,"Artifacts, industry, and human activities",,,,"Peru--History--Conquest, 1522-1548",,,,,,,
840,0840-002,B553 C569p /1-SIZE,[De los ritos y sacrificios q estos Indios tiene: y quan gra des carniceros fonde comer carne humana],,,,,,,,,,Seville,Martin de Montesdoca,1553,Spanish,"Human sacrifice. Native American plunges a knife into another's chest. Two bodies hang, a statue of an idol or devil on a pillar stands at left.","Cieza de León, Pedro de, 1518-1554",[La chronica de Peru. Part 1] Parte Primera dela chronica del Peru,Seville,En casa de Martin de Montesdoca,1553,Image title taken from chapter title.,1492-1600,,,Acquired before 1866.,,"Artifacts, industry, and human activities",,,,"Peru--History--Conquest, 1522-1548",,,,,,,
840,0840-011,B553 C569p /1-SIZE,"[De los carneros, ouejas, Buanacos, y Vicunias que ay en toda la mayor parte de la serrania del Peru]",,,,,,,,,,Seville,Martin de Montesdoca,1553,Spanish,Llamas or vicuñas.,"Cieza de León, Pedro de, 1518-1554",[La chronica de Peru. Part 1] Parte Primera dela chronica del Peru,Seville,En casa de Martin de Montesdoca,1553,Image title taken from chapter title.,1492-1600,,,Acquired before 1866.,,Flora and fauna,,,,Natural history--Peru,,,,,,,
840,0840-010,B553 C569p /1-SIZE,Cerro de Potosi,,,,,,,,,,Seville,Martin de Montesdoca,1553,Spanish,"Town and mountain of Potosí. Includes a view of the churches, dwellings, and town square (with decapitated head on a pike) of the settlement. Also includes river and paths up the mountain along with an indication of the different veins of silver.","Cieza de León, Pedro de, 1518-1554",[La chronica de Peru. Part 1] Parte Primera dela chronica del Peru,Seville,En casa de Martin de Montesdoca,1553,The mines at Potosí in Peru were discovered by Diego Hualca in 1544. The silver mines there were among the richest in the world.,1492-1600,,,Acquired before 1866.,,"Geography, maps, city views and plans",,,,Mines and mineral resources--Peru,,,,,,,
840,0840-003,B553 C569p /1-SIZE,"[En que se trata quien fueron los reyes Incas, y lo q[ue] mandaron en el peru]",,,,,,,,,,Seville,Martin de Montesdoca,1553,Spanish,"Orejone [i.e., Big-eared Incan or native American ruler] with two subjects.","Cieza de León, Pedro de, 1518-1554",[La chronica de Peru. Part 1] Parte Primera dela chronica del Peru,Seville,En casa de Martin de Montesdoca,1553,Image title taken from chapter title.,1492-1600,,,Acquired before 1866.,,Indigenous peoples,,,,"Peru--History--Conquest, 1522-1548",,,,,,,
840,0840-005,B553 C569p /1-SIZE,"[En que se trata quien fueron los reyes Incas, y lo q[ue] mandaron en el peru]",,,,,,,,,,Seville,Martin de Montesdoca,1553,Spanish,"Orejone [i.e., Big-eared Incan or native American ruler] with two subjects.","Cieza de León, Pedro de, 1518-1554",[La chronica de Peru. Part 1] Parte Primera dela chronica del Peru,Seville,En casa de Martin de Montesdoca,1553,Image title taken from chapter title.,1492-1600,,,Acquired before 1866.,,Indigenous peoples,,,,"Peru--History--Conquest, 1522-1548",,,,,,,
840,0840-004,B553 C569p /1-SIZE,"[En que se trata quien fueron los reyes Incas, y lo q[ue] mandaron en el peru]",,,,,,,,,,Seville,Martin de Montesdoca,1553,Spanish,Men talk to a devil.,"Cieza de León, Pedro de, 1518-1554",[La chronica de Peru. Part 1] Parte Primera dela chronica del Peru,Seville,En casa de Martin de Montesdoca,1553,"Cieza believed, like many other Spaniards, that native Americans of Peru spoke to the devil in the guise of their deceased ancestors. Image title taken from chapter title.",1492-1600,,,Acquired before 1866.,,Indigenous peoples,,,,"Peru--History--Conquest, 1522-1548",,,,,,,
